Marca temporal,¿Qué instrumento musical tienes?,¿Cuánto cuesta tu instrumento?,"¿Alguna vez tu instrumento musical se ha dañado? (desde un rayón, hasta una rotura o pérdida de piezas)",¿Qué tan frecuentemente se daña tu instrumento al año? ,"¿Cuántas veces en promedio el costo de reparación de tu instrumento ha sido de 0-$1,000 al año?","¿Cuántas veces en promedio el costo de reparación de tu instrumento ha sido de $1,000-$3,000 al año?","¿Cuántas veces en promedio el costo de reparación de tu instrumento ha sido de $3,000-$5,000 al año?","¿Cuántas veces en promedio el costo de reparación de tu instrumento ha sido de $5,000-$10,000 al año? ","¿Cuántas veces en promedio el costo de reparación de tu instrumento ha sido de $10,000-en adelante al año?",¿Alguna vez te han robado tu instrumento?,"Cuando se te daña tu instrumento, ¿Lo arreglas tu mismo o vas a un lugar donde te lo arreglan?",¿Qué tipo de daño es el que más suele presentar tu instrumento?,"Si te ofrecieran un seguro asequible para proteger tu instrumento, ¿lo pagarías?","Con respecto a la pregunta anterior, ¿Cuánto estarías dispuesto a pagar anualmente para proteger tu instrumento?",
06/05/24 22:50,Guitarra,$10000-$50000,Sí,Casi nunca (0 o 1 vez al año),8,1,0,0,0,no,Lo arreglo yo mismo,Problemas de potenciometros y conectores,Sí,400,
06/05/24 23:03,Piano,más de $50000,Sí,Ocasionalmente (2 o 3 veces al año),0,2,0,0,0,no,Voy a un lugar a que me lo arreglen,Desafinamiento ,Sí,300,
07/05/24 8:35,Guitarra,$1000-$5000,Sí,Casi nunca (0 o 1 vez al año),1,Nunca,Nunca,Nunca,Nunca ,no,Lo arreglo yo mismo,Se le rompen las cuerdas,No,500,
07/05/24 8:35,Piano,$10000-$50000,Sí,Casi nunca (0 o 1 vez al año),200,.,.,.,.,no,Voy a un lugar a que me lo arreglen,Se desafina (si cuenta como daño) o daño en los martillos ,No,,
07/05/24 8:47,Guitarra eléctrica y bajo,$10000-$50000,No,Casi nunca (0 o 1 vez al año),$800 (octavacion),0,0,0,0,no,Voy a un lugar a que me lo arreglen,"No es daño particularmente, es mantenimiento",No,,
07/05/24 9:00,Guitarra,$1000-$5000,Sí,Casi nunca (0 o 1 vez al año),0,1,0,0,0,no,Voy a un lugar a que me lo arreglen,"Rayones, fracturas en la caja de resonancia",Sí,300,
07/05/24 9:02,Piano,$10000-$50000,No,Casi nunca (0 o 1 vez al año),0,0,0,0,0,no,Voy a un lugar a que me lo arreglen,,Sí,5000,
07/05/24 9:08,Guitarra eléctrica,$5000-$10000,Sí,Casi nunca (0 o 1 vez al año),1,0,0,0,0,no,Voy a un lugar a que me lo arreglen,Golpes,Sí,,
07/05/24 9:09,Guitarra acústica ,$10000-$50000,Sí,Ocasionalmente (2 o 3 veces al año),0,1,0,0,0,no,Voy a un lugar a que me lo arreglen,Rayones,Sí,700 pesos ,
07/05/24 9:10,Bajo eléctrico,$10000-$50000,Sí,Casi nunca (0 o 1 vez al año),0,1,0,0,0,no,Voy a un lugar a que me lo arreglen,Golpes y electrónica. ,Sí,1000-2000 anual,
07/05/24 9:10,Bajo eléctrico ,$1000-$5000,Sí,Con frecuencia (3-4 veces al año),2 veces,0 veces,0 veces,0 veces,0 veces,no,Voy a un lugar a que me lo arreglen,Daño en las cuerdas y rayones.,Sí,"De $500 a $1,000 anuales.",
07/05/24 9:17,Guitarra Acústica Fender,$10000-$50000,Sí,Casi nunca (0 o 1 vez al año),0,1,0,0,0,no,Voy a un lugar a que me lo arreglen,Rayaduras en la caja.,Sí,2,
07/05/24 9:40,Guitarra,0-$1000,Sí,Ocasionalmente (2 o 3 veces al año),1,0,0,0,0,no,Lo arreglo yo mismo,Rotura de cuerdas,No,,
07/05/24 9:47,batería,$10000-$50000,Sí,Casi nunca (0 o 1 vez al año),2,0,0,0,0,no,Voy a un lugar a que me lo arreglen,desgaste,No,,
07/05/24 9:59,Guitarras,$10000-$50000,Sí,Casi nunca (0 o 1 vez al año),0,0,0,3,1,no,Voy a un lugar a que me lo arreglen,,Sí,5000,
07/05/24 10:02,piano,$10000-$50000,Sí,Casi nunca (0 o 1 vez al año),1,0,0,0,0,no,Voy a un lugar a que me lo arreglen,Desafinacion y desgaste de equipo,No,,
07/05/24 10:03,"Piano, guitarra",$5000-$10000,No,Casi nunca (0 o 1 vez al año),No lo he reparado,0,0,0,0,no,Lo arreglo yo mismo,No he tenido daños ,Sí,1500,
07/05/24 10:21,Batería,$5000-$10000,No,Casi nunca (0 o 1 vez al año),10,0,0,0,0,no,Lo arreglo yo mismo,Ningún ,No,"Nada, queda en casa y no hay problemas",
07/05/24 10:49,Flauta transversal ,$10000-$50000,Sí,Casi nunca (0 o 1 vez al año),2,1,0,0,1,no,Voy a un lugar a que me lo arreglen,Llaves desniveladas y ponchadura de pads,Sí,No más de lo que me cuesta un servicio ($2000),
07/05/24 11:20,Guitarra,$5000-$10000,Sí,Casi nunca (0 o 1 vez al año),1,0,0,0,0,no,Voy a un lugar a que me lo arreglen,"Desajuste, mantenimiento general",No,$300 ,
07/05/24 11:37,Cello,$10000-$50000,Sí,Casi nunca (0 o 1 vez al año),1,0,1,0,0,no,Voy a un lugar a que me lo arreglen,"Grietas, raspones",No,0,
07/05/24 11:55,Batería ,$10000-$50000,Sí,Casi nunca (0 o 1 vez al año),0,2,0,0,0,no,Lo arreglo yo mismo,Rotura de parches o de tornillos ,No,,
07/05/24 11:55,Cello,más de $50000,Sí,Casi nunca (0 o 1 vez al año),0,1,0,0,0,no,Voy a un lugar a que me lo arreglen,Rayones,Sí,"$5,000 ",
07/05/24 12:04,Violín,$10000-$50000,Sí,Casi nunca (0 o 1 vez al año),1,0,0,0,0,no,Voy a un lugar a que me lo arreglen,El arco pierde tensión,No,,
07/05/24 12:09,Guitarra,$10000-$50000,Sí,Casi nunca (0 o 1 vez al año),1,1,0,0,0,no,Voy a un lugar a que me lo arreglen,Rayones ,No,,
07/05/24 12:20,Guitarra ,$10000-$50000,Sí,Casi nunca (0 o 1 vez al año),1,0,0,0,0,no,Lo arreglo yo mismo,Cambio puente ,Sí,1000,
07/05/24 12:20,Flauta Transversa,$5000-$10000,Sí,Ocasionalmente (2 o 3 veces al año),2,0,0,0,1,no,Lo arreglo yo mismo,Desnivelación,Sí,5000,
07/05/24 12:36,Ukulele ,$1000-$5000,No,Casi nunca (0 o 1 vez al año),0,0,0,0,0,no,,,No,,
07/05/24 12:44,Violín ,más de $50000,Sí,Casi nunca (0 o 1 vez al año),0,0,0,0,2,no,Voy a un lugar a que me lo arreglen,No es algo común ,Sí,"Depende, hay orquestas que te lo aseguran ",
07/05/24 12:55,Bajo electrico y contrabajo,$10000-$50000,Sí,Casi nunca (0 o 1 vez al año),3,2,0,0,0,no,Voy a un lugar a que me lo arreglen,Golpes,Sí,2000,
07/05/24 14:04,Viola,más de $50000,Sí,Casi nunca (0 o 1 vez al año),0,0,1,0,1,no,Voy a un lugar a que me lo arreglen,"Cambio de puente, Pegar diapasón, cambio de clavijas y rayones.",Sí,"$4,000 ",
07/05/24 14:19,Saxofón,más de $50000,Sí,Casi nunca (0 o 1 vez al año),0,1,0,0,0,Sí,Voy a un lugar a que me lo arreglen,Desnivelación,Sí,2000,
07/05/24 14:55,Piano,más de $50000,Sí,Casi nunca (0 o 1 vez al año),2,0,0,1,0,no,Voy a un lugar a que me lo arreglen,Rotura de piezas pequeñas en la maquinaria,Sí,"Dado que el instrumento está en casa, es raro exponerlo a situaciones de riesgo, por lo cual estaría dispuesto a pagar muy poco, entiendo que un seguro tradicional contemple robo, o daños por parte de terceros, sin embargo, en el caso de un piano (no tan costoso como el mío), considero que un seguro atractivo podría contemplar cierta cobertura de mantenimiento, el cual implica sí el cambio quizás una vez al año de ciertas piezas pequeñas, la rotura de una cuerda (que sucede también muy esporádicamente, no diría que una al año) y/o afinación. Aunque por un mantenimiento anual de piano cuesta al rededor de 4,000 (dos afinaciones al año + algún percance), estaría dispuesto a pagar hasta 10,000 con tal de tenerlo resuelto.",
07/05/24 15:43,Bajo,$10000-$50000,No,Casi nunca (0 o 1 vez al año),1,2,0,0,0,Sí,Voy a un lugar a que me lo arreglen,Clavijas sueltas y botones sueltos,Sí,"4,000 al año",
07/05/24 17:05,Guitarra ,$5000-$10000,No,Casi nunca (0 o 1 vez al año),2,0,0,0,0,no,Lo arreglo yo mismo,Trasteo ,No,"Si tuviera un instrumento más caro como de 40,000 tal vez pagaría 2,000 al año para asegurarlo ",
08/05/24 9:24,Teclado,0-$1000,No,Casi nunca (0 o 1 vez al año),0,0,0,P,0,no,Voy a un lugar a que me lo arreglen,,No,,
08/05/24 11:35,Guitarra,$1000-$5000,Sí,Casi nunca (0 o 1 vez al año),0,1,0,0,0,no,Voy a un lugar a que me lo arreglen,Golpes,Sí,2000,
